Deck,Share,Win %,Wins,Loss,Tie,Player Count
Umbreon Urshifu,0.2542372881355932,0.3235294117647059,22,44,2,15
Calyrex Inteleon,0.15254237288135594,0.5806451612903226,36,24,2,9
Suicune Ludicolo,0.13559322033898305,0.43478260869565216,20,22,4,8
Leafeon Inteleon,0.11864406779661017,0.5,21,20,1,7
Jolteon Inteleon,0.0847457627118644,0.5172413793103449,15,13,1,5
Dragapult Inteleon,0.0847457627118644,0.5588235294117647,19,12,3,5
Urshifu Inteleon,0.06779661016949153,0.4090909090909091,9,12,1,4
Sylveon,0.03389830508474576,0.6428571428571429,9,5,0,2
Vaporeon Inteleon,0.01694915254237288,0.5,3,3,0,1
Calyrex Alcremie,0.01694915254237288,0.5,3,2,1,1
Rapid Strike Urshifu,0.01694915254237288,0.5,3,2,1,1
Sableye Inteleon,0.01694915254237288,0.4,2,3,0,1
